ID,Marital_Status,Income,Dt_Customer,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumWebPurchases,,,,,,,,,,,,,,,,,,NumStorePurchases,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2
232,Single,"$61,559.00",07-17-2013,279,83,88,32,14,34,4,,,,,,,,,,,,,,,,,,10,0,0,0,0,0
234,Divorced,"$15,287.00",10-10-2012,1,2,8,4,3,13,1,,,,,,,,,,,,,,,,,,2,1,0,0,0,0
236,Married,"$34,838.00",01-19-2013,28,23,29,29,14,47,2,,,,,,,,,,,,,,,,,,4,0,0,0,0,0
238,Together,"$67,309.00",01-23-2013,515,47,181,149,95,95,9,,,,,,,,,,,,,,,,,,9,0,0,0,0,0
241,Together,"$83,844.00",12-05-2013,901,31,345,75,31,191,4,,,,,,,,,,,,,,,,,,11,0,0,1,0,0
246,Married,"$66,480.00",05-31-2014,199,9,57,20,21,6,4,,,,,,,,,,,,,,,,,,7,0,0,0,0,0
247,Married,"$36,715.00",11-17-2012,172,10,125,21,13,16,7,,,,,,,,,,,,,,,,,,4,0,0,0,0,0
252,Divorced,"$41,003.00",03-17-2013,123,133,142,71,44,88,6,,,,,,,,,,,,,,,,,,8,0,0,0,0,0
254,Together,"$53,863.00",05-17-2014,399,4,30,6,4,30,7,,,,,,,,,,,,,,,,,,7,0,1,0,0,0
255,Divorced,"$22,263.00",03-30-2014,17,0,2,0,0,2,1,,,,,,,,,,,,,,,,,,3,0,0,0,0,0
257,Married,"$75,032.00",04-28-2013,952,12,180,47,12,12,5,,,,,,,,,,,,,,,,,,9,0,0,0,0,0
263,Single,"$45,576.00",05-28-2014,56,19,29,2,14,25,3,,,,,,,,,,,,,,,,,,3,0,0,0,0,0
269,Single,"$46,757.00",11-16-2012,777,30,163,0,51,122,4,,,,,,,,,,,,,,,,,,7,0,0,0,0,0
271,Widow,"$40,590.00",02-10-2013,154,0,50,6,11,37,3,,,,,,,,,,,,,,,,,,3,1,0,0,0,0
273,Married,"$36,138.00",07-16-2013,130,0,16,0,0,5,3,,,,,,,,,,,,,,,,,,4,0,1,0,0,0
274,Single,"$34,853.00",12-23-2013,9,3,15,2,3,2,2,,,,,,,,,,,,,,,,,,3,0,0,0,0,0
286,Single,"$44,213.00",11-29-2013,95,11,35,0,4,7,2,,,,,,,,,,,,,,,,,,5,0,0,0,0,0
291,Married,"$72,940.00",06-19-2013,182,74,298,162,149,116,3,,,,,,,,,,,,,,,,,,6,0,0,0,0,0
295,Single,"$81,217.00",07-19-2013,493,70,324,146,40,84,3,,,,,,,,,,,,,,,,,,11,0,0,0,0,0
304,Single,"$22,944.00",12-23-2013,19,3,19,4,5,26,3,,,,,,,,,,,,,,,,,,3,0,0,0,0,0
309,Together,"$63,342.00",10-16-2012,918,21,118,13,10,21,8,,,,,,,,,,,,,,,,,,5,0,1,0,0,0
310,Married,"$61,872.00",12-13-2013,330,5,159,36,27,16,4,,,,,,,,,,,,,,,,,,9,0,0,0,0,0
313,Widow,"$73,455.00",10-28-2013,901,61,757,186,163,20,6,,,,,,,,,,,,,,,,,,10,0,1,0,0,0
322,Together,"$42,554.00",12-01-2013,29,1,11,0,0,0,2,,,,,,,,,,,,,,,,,,3,0,0,0,0,0
326,Married,"$51,148.00",02-18-2013,235,6,45,8,9,12,5,,,,,,,,,,,,,,,,,,6,0,0,0,0,0
332,Married,"$47,743.00",03-22-2013,198,2,43,0,12,20,4,,,,,,,,,,,,,,,,,,6,0,1,0,0,0
339,Married,"$57,091.00",11-23-2012,462,0,24,6,0,4,9,,,,,,,,,,,,,,,,,,5,0,1,0,0,0
340,Divorced,"$72,967.00",12-15-2012,158,35,179,0,0,125,7,,,,,,,,,,,,,,,,,,8,1,0,0,0,0
347,Divorced,"$40,780.00",08-09-2012,229,27,71,13,3,34,7,,,,,,,,,,,,,,,,,,5,0,0,0,0,0
359,Together,"$48,070.00",01-13-2013,373,14,83,6,9,19,8,,,,,,,,,,,,,,,,,,6,0,0,0,0,0
361,Married,"$43,142.00",02-18-2014,5,1,7,2,1,4,1,,,,,,,,,,,,,,,,,,2,0,0,0,0,0
367,Married,"$36,550.00",02-19-2013,47,90,94,123,103,120,9,,,,,,,,,,,,,,,,,,5,0,0,0,0,0
368,Married,"$40,049.00",11-29-2012,91,65,52,10,44,28,3,,,,,,,,,,,,,,,,,,6,0,0,0,0,0
375,Divorced,"$76,773.00",02-25-2013,516,56,449,86,33,16,2,,,,,,,,,,,,,,,,,,11,0,0,0,0,0
378,Married,"$52,531.00",12-30-2012,283,112,151,51,72,125,7,,,,,,,,,,,,,,,,,,10,0,0,0,0,0
380,Divorced,"$64,497.00",10-09-2012,1170,48,320,42,32,192,11,,,,,,,,,,,,,,,,,,9,1,0,0,0,0
387,Married,"$7,500.00",11-13-2012,6,16,11,11,1,16,2,,,,,,,,,,,,,,,,,,3,0,0,0,0,0
405,Divorced,"$41,638.00",02-13-2013,315,0,31,4,0,91,5,,,,,,,,,,,,,,,,,,3,1,0,0,0,0
425,Married,"$55,357.00",02-19-2013,374,64,116,84,25,64,6,,,,,,,,,,,,,,,,,,11,0,0,0,0,0
433,Alone,"$61,331.00",10-03-2013,534,5,47,0,5,41,11,,,,,,,,,,,,,,,,,,6,0,0,0,0,0
437,Divorced,"$75,012.00",01-25-2014,294,142,218,164,58,151,3,,,,,,,,,,,,,,,,,,11,0,0,0,0,0
448,Single,"$54,880.00",01-03-2013,308,85,137,102,45,118,6,,,,,,,,,,,,,,,,,,11,0,0,0,0,0
450,Together,"$42,315.00",12-07-2013,67,15,80,17,11,80,1,,,,,,,,,,,,,,,,,,4,0,0,0,0,0
451,Single,"$9,255.00",12-20-2013,9,0,7,2,0,4,1,,,,,,,,,,,,,,,,,,2,0,0,0,0,0
453,Widow,"$35,340.00",06-29-2014,27,0,12,0,1,5,2,,,,,,,,,,,,,,,,,,3,0,0,0,0,0
454,Together,"$69,508.00",11-14-2012,824,32,162,42,32,43,11,,,,,,,,,,,,,,,,,,11,0,0,0,0,0
455,Married,"$51,012.00",04-18-2013,102,9,63,2,9,24,4,,,,,,,,,,,,,,,,,,4,0,0,0,0,0
456,Married,"$7,500.00",07-02-2013,1,11,5,4,6,9,2,,,,,,,,,,,,,,,,,,3,0,0,0,0,0
460,Married,"$79,930.00",08-08-2012,792,86,740,67,51,17,3,,,,,,,,,,,,,,,,,,8,0,0,0,0,0
466,Married,"$65,275.00",03-04-2013,388,14,218,91,14,21,4,,,,,,,,,,,,,,,,,,13,0,0,0,0,0
477,Married,"$83,512.00",06-17-2014,1060,61,835,80,20,101,4,,,,,,,,,,,,,,,,,,10,1,0,1,1,1
486,Married,"$84,219.00",02-02-2014,434,137,400,45,137,45,3,,,,,,,,,,,,,,,,,,10,0,0,0,0,0
492,YOLO,"$48,432.00",10-18-2012,322,3,50,4,3,42,7,,,,,,,,,,,,,,,,,,6,0,0,0,0,0
498,Single,"$30,015.00",02-02-2014,25,0,22,2,3,5,1,,,,,,,,,,,,,,,,,,4,0,0,0,0,0
500,Together,"$96,876.00",06-08-2013,908,43,735,40,194,21,7,,,,,,,,,,,,,,,,,,9,0,1,1,1,0
503,Married,"$20,559.00",12-03-2013,13,1,29,3,0,7,2,,,,,,,,,,,,,,,,,,3,0,0,0,0,0
520,Married,"$34,421.00",01-07-2013,3,3,7,6,2,9,1,,,,,,,,,,,,,,,,,,2,0,0,0,0,0
521,Together,"$54,006.00",09-18-2012,174,77,203,6,24,97,8,,,,,,,,,,,,,,,,,,7,0,0,0,0,0
523,Married,"$37,155.00",01-31-2013,23,0,26,7,15,3,2,,,,,,,,,,,,,,,,,,4,0,0,0,0,0
524,Together,"$22,634.00",01-16-2013,2,23,11,8,6,46,2,,,,,,,,,,,,,,,,,,2,0,0,0,0,0
528,Married,"$65,819.00",11-29-2012,267,38,701,149,165,63,5,,,,,,,,,,,,,,,,,,10,0,0,0,0,0
531,Divorced,"$57,333.00",09-22-2012,941,14,397,76,58,176,8,,,,,,,,,,,,,,,,,,9,0,0,0,0,0
535,Divorced,"$81,361.00",02-25-2014,163,23,424,27,65,76,3,,,,,,,,,,,,,,,,,,13,0,0,0,0,0
538,Single,"$46,107.00",10-02-2014,31,9,27,16,9,33,1,,,,,,,,,,,,,,,,,,4,0,0,0,0,0
544,Married,"$62,820.00",11-05-2013,398,61,265,138,61,53,3,,,,,,,,,,,,,,,,,,6,0,0,0,0,0
550,Divorced,"$62,335.00",05-23-2013,243,131,217,85,6,26,3,,,,,,,,,,,,,,,,,,13,0,0,0,0,0
564,Together,"$56,937.00",04-08-2012,746,8,125,11,8,8,8,,,,,,,,,,,,,,,,,,9,0,1,0,0,0
569,Single,"$90,273.00",12-14-2013,704,129,853,120,74,111,5,,,,,,,,,,,,,,,,,,7,0,1,1,1,0
574,Married,"$42,523.00",04-23-2014,14,36,11,3,26,35,1,,,,,,,,,,,,,,,,,,4,0,0,0,0,0
577,Together,"$26,907.00",08-20-2013,9,1,7,0,3,2,1,,,,,,,,,,,,,,,,,,3,0,0,0,0,0
590,Divorced,"$78,579.00",12-22-2012,816,66,549,216,66,99,5,,,,,,,,,,,,,,,,,,4,0,0,0,0,0
591,Widow,"$66,033.00",01-20-2013,293,35,179,46,59,65,8,,,,,,,,,,,,,,,,,,7,0,0,0,0,0
606,Single,"$25,930.00",10-10-2013,6,1,2,2,0,4,1,,,,,,,,,,,,,,,,,,2,0,0,0,0,0
607,Divorced,"$41,769.00",02-13-2013,302,29,131,32,0,27,8,,,,,,,,,,,,,,,,,,7,0,0,0,0,0
610,Together,"$53,593.00",07-08-2012,349,4,78,6,0,43,7,,,,,,,,,,,,,,,,,,6,0,0,0,0,0
615,Together,"$30,507.00",11-03-2013,65,36,74,38,20,110,5,,,,,,,,,,,,,,,,,,4,0,0,0,0,0
618,Married,"$69,389.00",09-28-2012,422,7,238,69,46,15,7,,,,,,,,,,,,,,,,,,12,0,0,0,0,0
624,Single,"$18,890.00",10-11-2012,6,4,1,7,2,15,0,,,,,,,,,,,,,,,,,,2,1,0,0,0,0
626,Married,"$32,871.00",09-03-2013,22,2,12,0,2,5,1,,,,,,,,,,,,,,,,,,3,0,0,0,0,0
635,Married,"$57,183.00",03-19-2013,464,5,64,7,0,70,9,,,,,,,,,,,,,,,,,,7,0,0,0,0,0
640,Married,"$57,304.00",11-03-2013,356,80,329,138,17,106,7,,,,,,,,,,,,,,,,,,10,0,0,0,0,0
641,Single,"$52,074.00",04-04-2014,59,0,12,0,0,48,2,,,,,,,,,,,,,,,,,,2,1,0,0,0,0
642,Married,"$16,005.00",08-14-2012,1,3,2,20,30,47,2,,,,,,,,,,,,,,,,,,2,0,0,0,0,0
663,Single,"$33,996.00",11-09-2013,40,2,15,8,0,6,1,,,,,,,,,,,,,,,,,,3,0,0,0,0,0
675,Divorced,"$52,034.00",05-17-2013,146,0,93,7,13,73,4,,,,,,,,,,,,,,,,,,5,0,0,0,0,0
679,Married,"$37,633.00",09-20-2012,13,4,20,0,0,1,1,,,,,,,,,,,,,,,,,,3,0,0,0,0,0
692,Together,"$36,807.00",12-20-2012,4,2,5,0,0,5,1,,,,,,,,,,,,,,,,,,2,0,0,0,0,0
697,Together,"$74,918.00",12-03-2013,972,59,913,25,19,59,5,,,,,,,,,,,,,,,,,,6,0,0,1,0,0
701,Married,"$73,691.00",06-11-2013,707,21,250,85,43,73,6,,,,,,,,,,,,,,,,,,8,1,0,0,0,0
702,Widow,"$47,682.00",02-15-2013,162,61,83,97,57,61,4,,,,,,,,,,,,,,,,,,8,0,0,0,0,0
709,Divorced,"$51,537.00",09-12-2012,787,20,204,0,0,92,2,,,,,,,,,,,,,,,,,,11,0,0,0,0,0
713,Married,"$50,353.00",08-06-2014,141,15,153,67,31,35,4,,,,,,,,,,,,,,,,,,6,0,0,0,0,0
716,Together,"$67,911.00",05-22-2014,529,0,356,63,28,0,6,,,,,,,,,,,,,,,,,,11,0,0,0,0,0
736,Together,"$28,427.00",03-21-2013,18,3,19,3,3,6,2,,,,,,,,,,,,,,,,,,3,0,0,0,0,0
737,Married,"$80,360.00",03-03-2013,1493,86,454,112,43,43,4,,,,,,,,,,,,,,,,,,5,0,1,1,1,0
738,Single,"$42,395.00",04-04-2014,48,13,57,24,15,25,3,,,,,,,,,,,,,,,,,,4,0,0,0,0,0
749,Together,"$42,162.00",11-19-2013,46,7,59,2,4,27,3,,,,,,,,,,,,,,,,,,3,1,0,0,0,0
760,Divorced,"$60,554.00",09-08-2013,588,7,76,110,15,15,8,,,,,,,,,,,,,,,,,,9,0,0,0,0,0
762,Together,"$75,774.00",02-05-2014,340,21,134,258,14,56,7,,,,,,,,,,,,,,,,,,8,0,0,0,0,0
771,Together,"$54,178.00",01-21-2014,135,9,39,4,0,7,2,,,,,,,,,,,,,,,,,,5,0,0,0,0,0
773,Divorced,"$42,835.00",06-30-2013,379,4,93,12,9,98,6,,,,,,,,,,,,,,,,,,4,0,0,0,0,0
793,Married,"$20,895.00",06-10-2012,18,3,17,3,0,4,2,,,,,,,,,,,,,,,,,,3,0,0,0,0,0
796,Divorced,"$60,161.00",10-23-2012,584,44,212,46,8,177,11,,,,,,,,,,,,,,,,,,8,0,0,0,0,0
798,Single,"$23,442.00",12-24-2012,2,0,6,8,6,5,1,,,,,,,,,,,,,,,,,,3,0,0,0,0,0
800,Together,"$44,512.00",08-30-2013,23,1,6,0,0,2,1,,,,,,,,,,,,,,,,,,3,0,0,0,0,0
803,Together,"$40,521.00",05-04-2013,12,0,5,0,0,4,0,,,,,,,,,,,,,,,,,,2,0,0,0,0,0
807,Together,"$44,602.00",02-15-2014,167,2,89,0,0,34,6,,,,,,,,,,,,,,,,,,4,0,0,0,0,0
810,Married,"$74,190.00",12-05-2014,151,81,86,168,91,64,4,,,,,,,,,,,,,,,,,,11,0,0,0,0,0
819,Widow,"$63,285.00",05-11-2013,508,124,249,50,38,134,6,,,,,,,,,,,,,,,,,,13,0,0,0,0,0
821,Single,"$92,859.00",10-19-2012,962,61,921,52,61,20,5,,,,,,,,,,,,,,,,,,12,0,0,0,0,0
830,Single,"$74,004.00",02-24-2014,784,48,560,42,176,48,4,,,,,,,,,,,,,,,,,,4,0,0,1,1,0
832,Together,"$65,814.00",02-03-2014,561,14,113,10,14,35,8,,,,,,,,,,,,,,,,,,10,0,0,0,0,0
833,Married,"$38,452.00",03-30-2014,56,0,14,0,0,2,3,,,,,,,,,,,,,,,,,,3,0,0,0,0,0
837,Married,"$54,809.00",11-09-2013,63,6,57,13,13,22,2,,,,,,,,,,,,,,,,,,5,0,0,0,0,0
839,Married,"$45,503.00",09-25-2013,97,4,44,6,1,18,3,,,,,,,,,,,,,,,,,,4,0,0,0,0,0
843,Married,"$64,722.00",05-26-2014,303,0,280,60,147,15,8,,,,,,,,,,,,,,,,,,11,0,0,0,0,0
849,Together,"$56,129.00",06-20-2013,320,48,133,39,72,48,6,,,,,,,,,,,,,,,,,,10,0,0,0,0,0
850,Single,"$70,566.00",06-10-2013,381,28,215,84,28,21,6,,,,,,,,,,,,,,,,,,9,0,0,0,0,0
851,Married,"$57,136.00",09-07-2013,306,5,109,21,109,92,5,,,,,,,,,,,,,,,,,,10,0,0,0,0,0
868,Married,"$44,794.00",08-06-2014,54,0,7,0,0,4,2,,,,,,,,,,,,,,,,,,3,0,0,0,0,0
873,Married,"$62,845.00",01-10-2012,1099,0,45,0,0,34,3,,,,,,,,,,,,,,,,,,10,0,1,0,0,0
879,Married,"$49,681.00",04-11-2013,411,0,26,0,0,21,7,,,,,,,,,,,,,,,,,,7,0,0,0,0,0
880,Together,"$22,634.00",01-16-2013,2,23,11,8,6,46,2,,,,,,,,,,,,,,,,,,2,0,0,0,0,0
891,Together,"$29,298.00",07-09-2013,6,0,2,2,0,1,1,,,,,,,,,,,,,,,,,,2,0,0,0,0,0
895,Married,"$61,467.00",09-12-2012,410,16,114,0,5,49,5,,,,,,,,,,,,,,,,,,10,0,0,0,0,0
898,Married,"$23,477.00",10-21-2013,38,15,54,3,8,29,3,,,,,,,,,,,,,,,,,,4,0,0,0,0,0
902,Together,"$62,994.00",04-03-2014,224,12,48,4,12,12,6,,,,,,,,,,,,,,,,,,4,0,0,0,0,0
905,Divorced,"$21,846.00",10-22-2013,7,17,18,6,10,26,4,,,,,,,,,,,,,,,,,,3,0,0,0,0,0
907,Married,"$46,149.00",11-29-2013,254,6,71,4,0,27,5,,,,,,,,,,,,,,,,,,7,0,0,0,0,0
916,Single,"$41,644.00",09-05-2014,20,3,4,2,0,2,1,,,,,,,,,,,,,,,,,,3,0,0,0,0,0
922,Married,"$31,086.00",04-05-2013,16,2,11,3,0,16,1,,,,,,,,,,,,,,,,,,2,1,0,0,0,0
933,Married,"$37,717.00",11-23-2012,9,0,6,4,1,5,1,,,,,,,,,,,,,,,,,,2,0,0,0,0,0
938,Married,"$40,211.00",07-30-2013,51,1,7,2,1,25,2,,,,,,,,,,,,,,,,,,2,1,0,0,0,0
940,Single,"$57,100.00",05-18-2014,158,11,99,15,11,17,3,,,,,,,,,,,,,,,,,,7,0,0,0,0,0
942,Single,"$39,660.00",08-08-2012,139,13,78,20,13,36,7,,,,,,,,,,,,,,,,,,3,0,0,0,0,0
944,Married,"$56,181.00",08-01-2013,121,103,69,8,44,48,4,,,,,,,,,,,,,,,,,,7,0,0,0,0,0
945,Together,"$36,317.00",05-22-2013,87,3,25,3,2,13,3,,,,,,,,,,,,,,,,,,4,0,0,0,0,0
946,Together,"$26,490.00",09-22-2012,45,47,52,21,20,25,3,,,,,,,,,,,,,,,,,,5,0,0,0,0,0
948,Single,"$10,245.00",05-15-2013,4,7,7,6,4,13,1,,,,,,,,,,,,,,,,,,2,0,0,0,0,0
954,Widow,"$22,123.00",03-27-2014,3,3,24,34,7,31,2,,,,,,,,,,,,,,,,,,3,0,0,0,0,0
955,Together,"$47,175.00",10-28-2012,167,2,44,6,2,19,4,,,,,,,,,,,,,,,,,,4,1,0,0,0,0
961,Married,"$74,716.00",12-09-2013,133,27,421,13,195,71,7,,,,,,,,,,,,,,,,,,5,0,0,0,0,0
965,Divorced,"$55,635.00",11-13-2012,235,65,164,50,49,27,7,,,,,,,,,,,,,,,,,,7,0,0,0,0,0
966,Married,"$44,529.00",05-07-2013,538,13,91,17,6,26,6,,,,,,,,,,,,,,,,,,11,0,1,0,0,0
967,Married,"$46,049.00",07-21-2013,342,9,112,19,14,19,5,,,,,,,,,,,,,,,,,,9,0,0,0,0,0
968,Divorced,"$41,335.00",12-26-2013,112,19,21,16,14,5,4,,,,,,,,,,,,,,,,,,4,0,0,0,0,0
975,Single,"$54,252.00",05-28-2013,178,4,26,8,4,44,4,,,,,,,,,,,,,,,,,,5,0,0,0,0,0
977,Together,"$47,320.00",01-08-2013,200,19,111,50,15,19,5,,,,,,,,,,,,,,,,,,8,0,0,0,0,0
979,Single,"$33,249.00",02-20-2013,6,10,21,19,14,42,2,,,,,,,,,,,,,,,,,,3,0,0,0,0,0
983,Married,"$40,059.00",09-28-2013,110,29,92,28,10,145,6,,,,,,,,,,,,,,,,,,3,1,0,0,0,0
988,Married,"$81,168.00",07-05-2014,410,0,592,147,22,22,6,,,,,,,,,,,,,,,,,,7,0,0,0,1,0
999,Single,"$86,037.00",02-01-2013,490,44,125,29,20,22,6,,,,,,,,,,,,,,,,,,11,0,1,1,0,0
1000,Together,"$74,881.00",08-03-2013,505,72,270,36,27,54,9,,,,,,,,,,,,,,,,,,12,0,0,0,0,0
1008,Together,"$44,953.00",12-21-2012,728,17,133,11,8,124,7,,,,,,,,,,,,,,,,,,13,1,0,0,0,0
1010,Together,"$46,931.00",04-24-2014,41,0,17,3,1,16,1,,,,,,,,,,,,,,,,,,3,0,0,0,0,0
1012,Single,"$61,823.00",02-18-2013,523,7,134,37,14,169,8,,,,,,,,,,,,,,,,,,10,0,0,0,0,0
1016,Single,"$34,554.00",03-30-2014,41,1,6,2,0,5,2,,,,,,,,,,,,,,,,,,3,0,0,0,0,0
1020,Married,"$79,593.00",12-05-2014,350,60,568,110,133,145,5,,,,,,,,,,,,,,,,,,7,0,0,1,0,0
1029,Together,"$64,413.00",01-08-2013,200,5,44,0,10,20,5,,,,,,,,,,,,,,,,,,5,0,0,0,0,0
1030,Single,"$40,637.00",07-17-2013,22,0,13,0,0,3,1,,,,,,,,,,,,,,,,,,3,0,0,0,0,0
1031,Married,"$85,710.00",05-05-2013,600,20,350,29,30,33,6,,,,,,,,,,,,,,,,,,10,0,0,1,0,0
1041,Single,"$48,432.00",10-18-2012,322,3,50,4,3,42,7,,,,,,,,,,,,,,,,,,6,0,0,0,0,0
1044,Together,"$58,398.00",05-14-2013,299,5,201,21,21,49,5,,,,,,,,,,,,,,,,,,8,0,0,0,0,0
1045,Together,"$52,117.00",08-16-2012,112,10,107,30,0,20,5,,,,,,,,,,,,,,,,,,4,0,0,0,0,0
1048,Married,"$35,641.00",07-14-2013,63,3,67,8,9,28,3,,,,,,,,,,,,,,,,,,4,0,0,0,0,0
1050,Married,"$28,332.00",04-30-2014,14,10,13,4,15,9,2,,,,,,,,,,,,,,,,,,4,0,0,0,0,0
